location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude
1,1248 N Blackstone Ave,,FRESNO,CA,93703,,,,UNITED STATES OF AMERICA,36.75891146,-119.7902719
2,1256 N Fresno St,,FRESNO,CA,93703,,,,UNITED STATES OF AMERICA,36.75917287,-119.781401
3,2615 E Clinton Ave,,FRESNO,CA,93703,,,,UNITED STATES OF AMERICA,36.77357544,-119.7796299
4,3095 E Shields Ave,,FRESNO,CA,93726,,,,UNITED STATES OF AMERICA,36.78012481,-119.7728418
5,4302 N Blackstone Ave,,FRESNO,CA,93726,,,,UNITED STATES OF AMERICA,36.79666954,-119.789834
6,346 Connecticut St,,BUFFALO,NY,14213,,,,UNITED STATES OF AMERICA,42.90604335,-78.88805871
7,390 Niagara St,,BUFFALO,NY,14201,,,,UNITED STATES OF AMERICA,42.89488905,-78.88635439
8,1066 Broadway,,BUFFALO,NY,14212,,,,UNITED STATES OF AMERICA,42.89443467,-78.83517077
9,900 William St,,BUFFALO,NY,14206,,,,UNITED STATES OF AMERICA,42.88524691,-78.83811833
10,44 Brayton St,,BUFFALO,NY,14213,,,,UNITED STATES OF AMERICA,42.91121269,-78.88561387
11,390 Niagara St,,BUFFALO,NY,14201,,,,UNITED STATES OF AMERICA,42.89488905,-78.88635439
