location_id,relationship_type_concept_id,domain_id,entity_id,start_date,end_date
1,32848,1147314,3763,4/5/2021,7/12/2024
2,32848,1147314,5587,4/1/2020,11/1/2020
3,32848,1147314,1011,12/31/2019,2/1/2020
4,32848,1147314,5950,2/29/2020,3/13/2020
5,32848,1147314,8780,7/15/2022,
6,32848,1147314,7595,3/5/2022,NA
7,32848,1147314,9103,11/15/2023,2/10/2024
8,32848,1147314,789,6/1/2018,5/31/2022
9,32848,1147314,9664,1/6/2014,10/3/2014
10,32848,9999999,8237,1/1/2017,10/1/2019
11,32848,9999999,8237,10/2/2019,
