location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude
1,1250 W 16th St,,Jacksonville,FL,32209,Duval,,,UNITED STATES OF AMERICA,,
2,2001 SW 16th St,,Gainesville,FL,32608,Alachua,,,UNITED STATES OF AMERICA,,
3,7000 University Blvd,,Winter Park,FL,32792,Orange,,,UNITED STATES OF AMERICA,,
4,1202 Prairie Ln,,Titusville,FL,32780,Brevard,,,UNITED STATES OF AMERICA,,
5,8441 Helen Terrace,,Jacksonville,FL,32210,Duval,,,UNITED STATES OF AMERICA,,
6,4860 Sand Stone Ln,,West Palm Beach,FL,33417,Palm Beach,,,UNITED STATES OF AMERICA,,
7,2515 First St,,Fort Myers,FL,33901,Lee,,,UNITED STATES OF AMERICA,,
8,2060 Continental Ave,,Tallahassee,FL,32304,Leon,,,UNITED STATES OF AMERICA,,
9,1155 SE 7th Ave,,Dania Beach,FL,33004,Broward,,,UNITED STATES OF AMERICA,,
10,4400 SW 20th Ave,,Gainesville,FL,32607,Alachua,,,UNITED STATES OF AMERICA,,
11,1850 SE 18th Ave,,Ocala,FL,34471,Marion,,,UNITED STATES OF AMERICA,,
12,2165 Van Buren St,,Hollywood,FL,33020,Broward,,,UNITED STATES OF AMERICA,,
13,434 W Jefferson St,,Tallahassee,FL,32301,Leon,,,UNITED STATES OF AMERICA,,
14,831 Oakley Seaver Dr,,Clermont,FL,34711,Lake,,,UNITED STATES OF AMERICA,,
15,1000 Peachtree Park Dr NE,,Atlanta,GA,30309,Fulton,,,UNITED STATES OF AMERICA,,
16,240 NW 25th St,,Miami,FL,33127,Miami-Dade,,,UNITED STATES OF AMERICA,,
17,1510 6th Ave,,Columbus,GA,31901,Muscogee,,,UNITED STATES OF AMERICA,,
18,711 Beach Blvd,,Jacksonville Beach,FL,32250,Duval,,,UNITED STATES OF AMERICA,,
19,109 W Fortune St,,Tampa,FL,33602,Hillsborough,,,UNITED STATES OF AMERICA,,
20,541 2nd Ave S,,Naples,FL,34102,Collier,,,UNITED STATES OF AMERICA,,
21,1400 Briarcliff Rd NE,,Atlanta,GA,30306,DeKalb,,,UNITED STATES OF AMERICA,,
22,1756 N Bayshore Dr,,Miami,FL,33132,Miami-Dade,,,UNITED STATES OF AMERICA,,
23,949 Cleveland St,,Clearwater,FL,33756,Pinellas,,,UNITED STATES OF AMERICA,,
24,4400 Cortina Cir,,Fort Myers,FL,33916,Lee,,,UNITED STATES OF AMERICA,,
25,953 Collins Ave,,Miami Beach,FL,33139,Miami-Dade,,,UNITED STATES OF AMERICA,,
