location_id,relationship_type_concept_id,domain_id,entity_id,start_date,end_date
1,32848,1147314,1,1/1/2012,
2,32848,1147314,2,1/1/2012,
3,32848,1147314,3,1/1/2010,
4,32848,1147314,4,1/1/2013,
5,32848,1147314,5,1/1/2015,1/1/2018
6,32848,1147314,6,1/1/2015,
7,32848,1147314,7,1/1/2016,
8,32848,1147314,8,1/1/2016,
9,32848,1147314,9,1/1/2017,
10,32848,1147314,10,1/1/2017,
11,32848,1147314,11,1/1/2017,1/1/2021
12,32848,1147314,12,1/1/2018,1/1/2020
13,32848,1147314,13,1/1/2018,
14,32848,1147314,5,1/1/2018,
15,32848,1147314,14,1/1/2019,
16,32848,1147314,15,1/1/2019,
17,32848,1147314,16,1/1/2019,
18,32848,1147314,17,1/1/2020,
19,32848,1147314,18,1/1/2020,
20,32848,1147314,19,1/1/2020,
21,32848,1147314,12,1/1/2020,
22,32848,1147314,11,1/1/2021,
23,32848,1147314,20,1/1/2021,
24,32848,1147314,21,1/1/2021,
25,32848,1147314,22,1/1/2021,
26,32848,1147314,23,1/1/2022,
27,32848,1147314,24,1/1/2023,
28,32848,1147314,25,1/1/2023,
29,32848,1147314,26,1/1/2021,7/1/2021
30,32848,1147314,27,1/1/2022,
31,32848,1147314,26,7/1/2021,
32,32848,1147314,33,,
33,32848,1147314,34,1/1/2019,
34,32848,1147314,35,1/1/2019,
35,32848,1147314,36,1/1/2020,
36,32848,1147314,37,1/1/2020,
37,32848,1147314,38,1/1/2021,
38,32848,1147314,39,1/1/2021,
39,32848,1147314,1,1/1/2011,1/1/2012
40,32848,1147314,9,1/1/2016,1/1/2017
41,32848,1147314,5,1/1/2014,1/1/2015
42,32848,1147314,10,6/1/2017,
43,32848,1147314,8,6/1/2016,
44,32848,1147314,40,1/1/2013,
45,32848,1147314,41,1/1/2014,
46,32848,1147314,42,1/1/2015,
47,32848,1147314,43,1/1/2016,
48,32848,1147314,44,1/1/2017,
49,32848,1147314,45,1/1/2018,
50,32848,1147314,46,1/1/2019,
51,32848,1147314,47,1/1/2020,
52,32848,1147314,48,1/1/2021,
53,32848,1147314,49,1/1/2021,
54,32848,1147314,14,1/1/2019,
55,32848,1147314,50,1/1/2022,
56,32848,1147314,16,1/1/2019,
57,32848,1147314,51,1/1/2022,
58,32848,1147314,52,1/1/2020,
59,32848,1147314,52,1/1/2020,
60,32848,1147314,27,6/1/2022,
61,32848,1147314,53,1/1/2021,
62,32848,1147314,54,1/1/2021,
63,32848,1147314,55,1/1/2022,
64,32848,1147314,26,1/1/2021,
65,32848,1147314,56,1/1/2020,
66,32848,1147314,57,1/1/2020,
10,32848,1147314,10,3/15/2018,
13,32848,1147314,13,15-Mar-18,
19,32848,1147314,18,20180315,
23,32848,1147314,20,2021-13-45,
24,32848,1147314,,1/1/2021,
25,32848,1147314,22,1/1/2021,1/1/2019
26,32848,1147314,23,1/1/2022,1/1/2022
27,32848,1147314,24,1/1/2023,1/1/2030
28,,1147314,25,1/1/2023,
29,abc,1147314,26,1/1/2021,
30,32848,,27,1/1/2022,
9999,32848,1147314,63,1/1/2021,
1,32848,1147314,1,1/1/2012,
2,32848,1147314,PT-0042,1/1/2013,
