location_id,street,city,state,zip,year,entity_id
1,1248 N Blackstone Ave,FRESNO,CA,93703,2019,1
2,1256 N Fresno St,FRESNO,CA,93703,2019,2
3,2615 E Clinton Ave,FRESNO,CA,93703,2019,3
4,3095 E Shields Ave,FRESNO,CA,93726,2019,4
5,4302 N Blackstone Ave,FRESNO,CA,93726,2019,6
6,346 Connecticut St,BUFFALO,NY,14213,2019,7
7,390 Niagara St,BUFFALO,NY,14201,2019,8
8,1066 Broadway,BUFFALO,NY,14212,2019,9
9,900 William St,BUFFALO,NY,14206,2019,10
10,44 Brayton St,BUFFALO,NY,14213,2019,11
11,220 N Forks Ave,FORKS,WA,98331,2019,12
12,261 East E Street,FORKS,WA,98331,2019,5
13,270 Bogachiel Way,FORKS,WA,98331,2019,6
14,500 E Division St,FORKS,WA,98331,2019,13
15,Sportsman Club Rd,FORKS,WA,98331,2019,14
16,327 Seward St,SITKA,AK,99835,2019,15
17,210 Baranof St,SITKA,AK,99835,2019,16
18,427 Katlian St,SITKA,AK,99835,2019,17
19,205 Harbor Dr,SITKA,AK,99835,2019,18
20,2 Lincoln St ,SITKA,AK,99835,2019,11
