location_id,year,entity_id,address
1,2019,1,1248 N Blackstone Ave FRESNO CA 93703
2,2019,2,1256 N Fresno St FRESNO CA 93703
3,2019,3,2615 E Clinton Ave FRESNO CA 93703
4,2019,4,3095 E Shields Ave FRESNO CA 93726
5,2019,6,4302 N Blackstone Ave FRESNO CA 93726
6,2019,7,346 Connecticut St BUFFALO NY 14213
7,2019,8,390 Niagara St BUFFALO NY 14201
8,2019,9,1066 Broadway BUFFALO NY 14212
9,2019,10,900 William St BUFFALO NY 14206
10,2019,11,44 Brayton St BUFFALO NY 14213
11,2019,12,220 N Forks Ave FORKS WA 98331
12,2019,5,261 East E Street FORKS WA 98331
13,2019,6,270 Bogachiel Way FORKS WA 98331
14,2019,13,500 E Division St FORKS WA 98331
15,2019,14,Sportsman Club Rd FORKS WA 98331
16,2019,15,327 Seward St SITKA AK 99835
17,2019,16,210 Baranof St SITKA AK 99835
18,2019,17,427 Katlian St SITKA AK 99835
19,2019,18,205 Harbor Dr SITKA AK 99835
20,2019,11,2 Lincoln St SITKA AK 99835
